"","x"
"1",5419.66144906989
"2",4922.75061297891
"3",4943.11777729862
"4",5011.95860513157
"5",5066.96977568488
"6",5079.60180573395
"7",5153.18836194762
"8",5179.43464080924
"9",4869.33701762498
"10",4977.7358212639
"11",5053.63932034373
"12",5106.92405730484
"13",5119.08347229588
"14",5189.32746747823
"15",5215.2244063448
"16",4904.13013676729
"17",5013.01924771339
"18",5088.65682589557
"19",5142.21781632839
"20",5154.17058070109
"21",5224.52382089097
"22",5250.30275957141
"23",4939.27738691295
"24",5048.1121106411
"25",4795.66485422654
"26",5177.32316337057
"27",5189.29757781112
"28",5259.63440544801
"29",5285.42492227204
"30",4974.39076734317
"31",5083.23189682048
