"","x"
"1",5208.41353039753
"2",4742.77454924135
"3",4831.1440062554
"4",4922.06820647031
"5",4954.59571209354
"6",5037.19341550109
"7",5015.17500802378
"8",5100.92190521827
"9",4733.09810470865
"10",4821.82235556132
"11",4928.36440252841
"12",4959.75775027557
"13",5042.90232380923
"14",5016.08585773935
"15",5101.64564844381
"16",4732.38974188713
"17",4821.98806192058
"18",4928.15132219646
"19",4960.0084106171
"20",5042.83915099257
"21",5016.20279788819
"22",5101.58012231204
"23",4732.43498304893
"24",4821.94862529477
"25",3231.35873138664
"26",4959.98955119394
"27",5042.85456451865
"28",5016.19244617467
"29",5101.58805362622
"30",4732.42910768418
"31",4821.95285144553
