"","x"
"1",104314.919725895
"2",2239002.89174418
"3",2463724.21025024
"4",2966786.57789953
"5",2832402.55055963
"6",2086767.31694256
"7",1800089.5183893
"8",3751805.11789361
"9",1831546.6137276
"10",888057.827226891
"11",752.847502404391
"12",393909.458566938
"13",5159320.34797527
"14",2882997.24390677
"15",1105437.34052038
"16",2706150.0762786
"17",3417604.3142739
"18",4655351.39429345
"19",623703.851550586
"20",541598.459857935
"21",4272404.18452092
"22",23534571.547397
"23",11775157.5918755
"24",27054195.451683
"25",19397768.9360034
"26",3428834.30648174
"27",5810035.55189567
"28",3800317.41828274
"29",3724975.64273755
"30",2791976.26417528
